username,content,create_time
水晶鱼多多🍭,【贴图】阿兹卡班原型，邻居分班,19:24
51669222,【讨论】【哈利菠菠】一些悖论和假想……,9-12
某脑洞大开之人,【原创】自创魔咒:反击咒,1-12
贴吧用户_aWX7WXE,【讨论】问一下我是新哈迷，为什么火焰杯里有哈利邓布利多这么生气,18:30
牧羊女♬,【原创】极北之地,3-7
阿米娅✨,【讨论】一直在想一个问题，如果有人把麻瓜世界的枪械带进了霍格,9-12
瑶瑶不哭🍼,【讨论】我想问问卡组需不需要全部升级去叠魔法书等级,17:20
失误的15♬,【原创】论英国霍格沃兹魔法学院的沙雕日常,17:23
紫罗兰色♋,【讨论】霍格沃茨收中国巫师吗？,12:50
司小汐,【吧务】哈利波特吧吧务组有关《哈利波特：魔法觉醒》的公告,9-9
叶猫🌟,【官方活动】2021年度征文——事与愿违,4-29
司小汐,【入吧必读】百度哈利波特吧吧规（2019年版）,2019-07
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
伊诺印加,【原创】女部长（第一位魔法部女部长相关）,2017-01
怪咖的羽毛⚡,【讨论】罗琳对立了四个学院又好像融合了四个学院,15:37
yayaclove,【讨论】提起《哈利波特》，你最先想起的词语是什么？,20:15
铃音奇迹,【原创】天朝魔法学院使用手册/又名在中国魔法学院的生活是怎样？,2018-02
爱吃肉的橘猫😈,【疑问】|･ω･｀)各位hp前辈。手游算是伏地魔获胜的平行世界么？,20:23
贴吧用户_a1D5989,【讨论】居然抽到了张哈利波特,9-9
沈宴º,【疑问】不是。。现在哈利波特吧跟魔法觉醒是打算合一起了?,22:43
不是小清新80,【求助】加拉提亚.梅乐思长什么样子,2015-08
蒲绒绒丷-,【招人】橙 光：𝘉 𝘌 𝘕 𝘕 𝘌 𝘕,9-11
YuKi新新◎,【讨论】原著有说过斯内普：你的👀很像你的母亲吗？,9-12
我是李生525,【原创】alpha,9-12
冬日菡萏◆,【贴图】魔法觉醒：磕哈金＆塞秋,9-10
胡椒炒青椒,【原创分析·重修】《生而高贵，巫师家谱》分析28个纯血统家族,2014-10
牧羊女♬,【讨论】各个国家的魔法世界,8-10
盐焗-芒果干,【讨论】大家喜欢德拉科·马尔福的原因,1-7
假龙牌香烟,【疑问】询问一下世界观的问题,09:01
奇迹美男子😍,【贴图】练习册里出现了哈利•波特,20:03
刚子哥儿,【疑问】我是盲生，我发现了华点,16:44
🐷天线雨点,【讨论】有点语无伦次，关于我现在的一些奇怪的失落,9-8
浮生若梦物语º,【讨论】秋张真的很好看啊,9-2
春梦夏归2,【讨论】想给我弟弟买一套哈利波特全集，拼多多比淘宝便宜不少，,1-28
昕呈则灵shine,【讨论】关于卢平和哈利,2014-09
三厘米学弟,【转载】细看罗赫之间的感情发展史（转）,2015-10
徐九星😈😈,【讨论】有没有吧友存过一张图，大概就是如果哈利是女孩什么的……,01:30
稻草人🔥修罗场,【游戏记录】霍格沃兹之谜（可能剧透）,2018-04
奇迹美男子😍,【讨论】咱们哈利•波特里有没有什么人气很高却没有实力的人物呢？,9-7
紫罗兰色♋,【讨论】赫敏为什么没有闺蜜？,9-9
我真不是帅哥º,【讨论】关于电影,9-12
奇迹美男子😍,【贴图】霍格沃茨魔法学校北京校区新宣传片,9-3
星落花海℃,【讨论】哈利波特,16:25
xp19910201,【鉴定】长期帮助大家鉴定各种中文版和英文版的哈利波特书,2018-07
左原右耀色😄,【讨论】关于手游里的消失咒,18:30
鞋圣归来,【演绎/文游】陨星：巫师们的异星生存故事,9-11
青希夜-,【讨论】求一枕冰寒原文地址呜呜呜,20:25
亮亮的羽扇😍,【讨论】关于哈利波特的一些碎碎念,9-12
呐呐呐呐呐呐🌿,【讨论】笑死了…,9-11
水晶鱼多多🍭,【贴图】阿兹卡班原型，邻居分班,19:24
51669222,【讨论】【哈利菠菠】一些悖论和假想……,9-12
某脑洞大开之人,【原创】自创魔咒:反击咒,1-12
贴吧用户_aWX7WXE,【讨论】问一下我是新哈迷，为什么火焰杯里有哈利邓布利多这么生气,18:30
牧羊女♬,【原创】极北之地,3-7
阿米娅✨,【讨论】一直在想一个问题，如果有人把麻瓜世界的枪械带进了霍格,9-12
瑶瑶不哭🍼,【讨论】我想问问卡组需不需要全部升级去叠魔法书等级,17:20
失误的15♬,【原创】论英国霍格沃兹魔法学院的沙雕日常,17:23
紫罗兰色♋,【讨论】霍格沃茨收中国巫师吗？,12:50
司小汐,【吧务】哈利波特吧吧务组有关《哈利波特：魔法觉醒》的公告,9-9
叶猫🌟,【官方活动】2021年度征文——事与愿违,4-29
司小汐,【入吧必读】百度哈利波特吧吧规（2019年版）,2019-07
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
伊诺印加,【原创】女部长（第一位魔法部女部长相关）,2017-01
怪咖的羽毛⚡,【讨论】罗琳对立了四个学院又好像融合了四个学院,15:37
yayaclove,【讨论】提起《哈利波特》，你最先想起的词语是什么？,20:15
铃音奇迹,【原创】天朝魔法学院使用手册/又名在中国魔法学院的生活是怎样？,2018-02
爱吃肉的橘猫😈,【疑问】|･ω･｀)各位hp前辈。手游算是伏地魔获胜的平行世界么？,20:23
贴吧用户_a1D5989,【讨论】居然抽到了张哈利波特,9-9
沈宴º,【疑问】不是。。现在哈利波特吧跟魔法觉醒是打算合一起了?,22:43
不是小清新80,【求助】加拉提亚.梅乐思长什么样子,2015-08
蒲绒绒丷-,【招人】橙 光：𝘉 𝘌 𝘕 𝘕 𝘌 𝘕,9-11
YuKi新新◎,【讨论】原著有说过斯内普：你的👀很像你的母亲吗？,9-12
我是李生525,【原创】alpha,9-12
冬日菡萏◆,【贴图】魔法觉醒：磕哈金＆塞秋,9-10
胡椒炒青椒,【原创分析·重修】《生而高贵，巫师家谱》分析28个纯血统家族,2014-10
牧羊女♬,【讨论】各个国家的魔法世界,8-10
盐焗-芒果干,【讨论】大家喜欢德拉科·马尔福的原因,1-7
假龙牌香烟,【疑问】询问一下世界观的问题,09:01
奇迹美男子😍,【贴图】练习册里出现了哈利•波特,20:03
刚子哥儿,【疑问】我是盲生，我发现了华点,16:44
🐷天线雨点,【讨论】有点语无伦次，关于我现在的一些奇怪的失落,9-8
浮生若梦物语º,【讨论】秋张真的很好看啊,9-2
春梦夏归2,【讨论】想给我弟弟买一套哈利波特全集，拼多多比淘宝便宜不少，,1-28
昕呈则灵shine,【讨论】关于卢平和哈利,2014-09
三厘米学弟,【转载】细看罗赫之间的感情发展史（转）,2015-10
徐九星😈😈,【讨论】有没有吧友存过一张图，大概就是如果哈利是女孩什么的……,01:30
稻草人🔥修罗场,【游戏记录】霍格沃兹之谜（可能剧透）,2018-04
奇迹美男子😍,【讨论】咱们哈利•波特里有没有什么人气很高却没有实力的人物呢？,9-7
紫罗兰色♋,【讨论】赫敏为什么没有闺蜜？,9-9
我真不是帅哥º,【讨论】关于电影,9-12
奇迹美男子😍,【贴图】霍格沃茨魔法学校北京校区新宣传片,9-3
星落花海℃,【讨论】哈利波特,16:25
xp19910201,【鉴定】长期帮助大家鉴定各种中文版和英文版的哈利波特书,2018-07
左原右耀色😄,【讨论】关于手游里的消失咒,18:30
鞋圣归来,【演绎/文游】陨星：巫师们的异星生存故事,9-11
青希夜-,【讨论】求一枕冰寒原文地址呜呜呜,20:25
亮亮的羽扇😍,【讨论】关于哈利波特的一些碎碎念,9-12
呐呐呐呐呐呐🌿,【讨论】笑死了…,9-11
水晶鱼多多🍭,【贴图】阿兹卡班原型，邻居分班,19:24
51669222,【讨论】【哈利菠菠】一些悖论和假想……,9-12
某脑洞大开之人,【原创】自创魔咒:反击咒,1-12
贴吧用户_aWX7WXE,【讨论】问一下我是新哈迷，为什么火焰杯里有哈利邓布利多这么生气,18:30
牧羊女♬,【原创】极北之地,3-7
阿米娅✨,【讨论】一直在想一个问题，如果有人把麻瓜世界的枪械带进了霍格,9-12
瑶瑶不哭🍼,【讨论】我想问问卡组需不需要全部升级去叠魔法书等级,17:20
失误的15♬,【原创】论英国霍格沃兹魔法学院的沙雕日常,17:23
紫罗兰色♋,【讨论】霍格沃茨收中国巫师吗？,12:50
司小汐,【吧务】哈利波特吧吧务组有关《哈利波特：魔法觉醒》的公告,9-9
叶猫🌟,【官方活动】2021年度征文——事与愿违,4-29
司小汐,【入吧必读】百度哈利波特吧吧规（2019年版）,2019-07
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
伊诺印加,【原创】女部长（第一位魔法部女部长相关）,2017-01
怪咖的羽毛⚡,【讨论】罗琳对立了四个学院又好像融合了四个学院,15:37
yayaclove,【讨论】提起《哈利波特》，你最先想起的词语是什么？,20:15
铃音奇迹,【原创】天朝魔法学院使用手册/又名在中国魔法学院的生活是怎样？,2018-02
爱吃肉的橘猫😈,【疑问】|･ω･｀)各位hp前辈。手游算是伏地魔获胜的平行世界么？,20:23
贴吧用户_a1D5989,【讨论】居然抽到了张哈利波特,9-9
沈宴º,【疑问】不是。。现在哈利波特吧跟魔法觉醒是打算合一起了?,22:43
不是小清新80,【求助】加拉提亚.梅乐思长什么样子,2015-08
蒲绒绒丷-,【招人】橙 光：𝘉 𝘌 𝘕 𝘕 𝘌 𝘕,9-11
YuKi新新◎,【讨论】原著有说过斯内普：你的👀很像你的母亲吗？,9-12
我是李生525,【原创】alpha,9-12
冬日菡萏◆,【贴图】魔法觉醒：磕哈金＆塞秋,9-10
胡椒炒青椒,【原创分析·重修】《生而高贵，巫师家谱》分析28个纯血统家族,2014-10
牧羊女♬,【讨论】各个国家的魔法世界,8-10
盐焗-芒果干,【讨论】大家喜欢德拉科·马尔福的原因,1-7
假龙牌香烟,【疑问】询问一下世界观的问题,09:01
奇迹美男子😍,【贴图】练习册里出现了哈利•波特,20:03
刚子哥儿,【疑问】我是盲生，我发现了华点,16:44
🐷天线雨点,【讨论】有点语无伦次，关于我现在的一些奇怪的失落,9-8
浮生若梦物语º,【讨论】秋张真的很好看啊,9-2
春梦夏归2,【讨论】想给我弟弟买一套哈利波特全集，拼多多比淘宝便宜不少，,1-28
昕呈则灵shine,【讨论】关于卢平和哈利,2014-09
三厘米学弟,【转载】细看罗赫之间的感情发展史（转）,2015-10
徐九星😈😈,【讨论】有没有吧友存过一张图，大概就是如果哈利是女孩什么的……,01:30
稻草人🔥修罗场,【游戏记录】霍格沃兹之谜（可能剧透）,2018-04
奇迹美男子😍,【讨论】咱们哈利•波特里有没有什么人气很高却没有实力的人物呢？,9-7
紫罗兰色♋,【讨论】赫敏为什么没有闺蜜？,9-9
我真不是帅哥º,【讨论】关于电影,9-12
奇迹美男子😍,【贴图】霍格沃茨魔法学校北京校区新宣传片,9-3
星落花海℃,【讨论】哈利波特,16:25
xp19910201,【鉴定】长期帮助大家鉴定各种中文版和英文版的哈利波特书,2018-07
左原右耀色😄,【讨论】关于手游里的消失咒,18:30
鞋圣归来,【演绎/文游】陨星：巫师们的异星生存故事,9-11
青希夜-,【讨论】求一枕冰寒原文地址呜呜呜,20:25
亮亮的羽扇😍,【讨论】关于哈利波特的一些碎碎念,9-12
呐呐呐呐呐呐🌿,【讨论】笑死了…,9-11
水晶鱼多多🍭,【贴图】阿兹卡班原型，邻居分班,19:24
51669222,【讨论】【哈利菠菠】一些悖论和假想……,9-12
某脑洞大开之人,【原创】自创魔咒:反击咒,1-12
贴吧用户_aWX7WXE,【讨论】问一下我是新哈迷，为什么火焰杯里有哈利邓布利多这么生气,18:30
牧羊女♬,【原创】极北之地,3-7
阿米娅✨,【讨论】一直在想一个问题，如果有人把麻瓜世界的枪械带进了霍格,9-12
瑶瑶不哭🍼,【讨论】我想问问卡组需不需要全部升级去叠魔法书等级,17:20
失误的15♬,【原创】论英国霍格沃兹魔法学院的沙雕日常,17:23
紫罗兰色♋,【讨论】霍格沃茨收中国巫师吗？,12:50
司小汐,【吧务】哈利波特吧吧务组有关《哈利波特：魔法觉醒》的公告,9-9
叶猫🌟,【官方活动】2021年度征文——事与愿违,4-29
司小汐,【入吧必读】百度哈利波特吧吧规（2019年版）,2019-07
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
伊诺印加,【原创】女部长（第一位魔法部女部长相关）,2017-01
怪咖的羽毛⚡,【讨论】罗琳对立了四个学院又好像融合了四个学院,15:37
yayaclove,【讨论】提起《哈利波特》，你最先想起的词语是什么？,20:15
铃音奇迹,【原创】天朝魔法学院使用手册/又名在中国魔法学院的生活是怎样？,2018-02
爱吃肉的橘猫😈,【疑问】|･ω･｀)各位hp前辈。手游算是伏地魔获胜的平行世界么？,20:23
贴吧用户_a1D5989,【讨论】居然抽到了张哈利波特,9-9
沈宴º,【疑问】不是。。现在哈利波特吧跟魔法觉醒是打算合一起了?,22:43
不是小清新80,【求助】加拉提亚.梅乐思长什么样子,2015-08
蒲绒绒丷-,【招人】橙 光：𝘉 𝘌 𝘕 𝘕 𝘌 𝘕,9-11
YuKi新新◎,【讨论】原著有说过斯内普：你的👀很像你的母亲吗？,9-12
我是李生525,【原创】alpha,9-12
冬日菡萏◆,【贴图】魔法觉醒：磕哈金＆塞秋,9-10
胡椒炒青椒,【原创分析·重修】《生而高贵，巫师家谱》分析28个纯血统家族,2014-10
牧羊女♬,【讨论】各个国家的魔法世界,8-10
盐焗-芒果干,【讨论】大家喜欢德拉科·马尔福的原因,1-7
假龙牌香烟,【疑问】询问一下世界观的问题,09:01
奇迹美男子😍,【贴图】练习册里出现了哈利•波特,20:03
刚子哥儿,【疑问】我是盲生，我发现了华点,16:44
🐷天线雨点,【讨论】有点语无伦次，关于我现在的一些奇怪的失落,9-8
浮生若梦物语º,【讨论】秋张真的很好看啊,9-2
春梦夏归2,【讨论】想给我弟弟买一套哈利波特全集，拼多多比淘宝便宜不少，,1-28
昕呈则灵shine,【讨论】关于卢平和哈利,2014-09
三厘米学弟,【转载】细看罗赫之间的感情发展史（转）,2015-10
徐九星😈😈,【讨论】有没有吧友存过一张图，大概就是如果哈利是女孩什么的……,01:30
稻草人🔥修罗场,【游戏记录】霍格沃兹之谜（可能剧透）,2018-04
奇迹美男子😍,【讨论】咱们哈利•波特里有没有什么人气很高却没有实力的人物呢？,9-7
紫罗兰色♋,【讨论】赫敏为什么没有闺蜜？,9-9
我真不是帅哥º,【讨论】关于电影,9-12
奇迹美男子😍,【贴图】霍格沃茨魔法学校北京校区新宣传片,9-3
星落花海℃,【讨论】哈利波特,16:25
xp19910201,【鉴定】长期帮助大家鉴定各种中文版和英文版的哈利波特书,2018-07
左原右耀色😄,【讨论】关于手游里的消失咒,18:30
鞋圣归来,【演绎/文游】陨星：巫师们的异星生存故事,9-11
青希夜-,【讨论】求一枕冰寒原文地址呜呜呜,20:25
亮亮的羽扇😍,【讨论】关于哈利波特的一些碎碎念,9-12
呐呐呐呐呐呐🌿,【讨论】笑死了…,9-11
水晶鱼多多🍭,【贴图】阿兹卡班原型，邻居分班,19:24
51669222,【讨论】【哈利菠菠】一些悖论和假想……,9-12
某脑洞大开之人,【原创】自创魔咒:反击咒,1-12
贴吧用户_aWX7WXE,【讨论】问一下我是新哈迷，为什么火焰杯里有哈利邓布利多这么生气,18:30
牧羊女♬,【原创】极北之地,3-7
阿米娅✨,【讨论】一直在想一个问题，如果有人把麻瓜世界的枪械带进了霍格,9-12
瑶瑶不哭🍼,【讨论】我想问问卡组需不需要全部升级去叠魔法书等级,17:20
失误的15♬,【原创】论英国霍格沃兹魔法学院的沙雕日常,17:23
紫罗兰色♋,【讨论】霍格沃茨收中国巫师吗？,12:50
司小汐,【吧务】哈利波特吧吧务组有关《哈利波特：魔法觉醒》的公告,9-9
叶猫🌟,【官方活动】2021年度征文——事与愿违,4-29
司小汐,【入吧必读】百度哈利波特吧吧规（2019年版）,2019-07
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
伊诺印加,【原创】女部长（第一位魔法部女部长相关）,2017-01
怪咖的羽毛⚡,【讨论】罗琳对立了四个学院又好像融合了四个学院,15:37
yayaclove,【讨论】提起《哈利波特》，你最先想起的词语是什么？,20:15
铃音奇迹,【原创】天朝魔法学院使用手册/又名在中国魔法学院的生活是怎样？,2018-02
爱吃肉的橘猫😈,【疑问】|･ω･｀)各位hp前辈。手游算是伏地魔获胜的平行世界么？,20:23
贴吧用户_a1D5989,【讨论】居然抽到了张哈利波特,9-9
沈宴º,【疑问】不是。。现在哈利波特吧跟魔法觉醒是打算合一起了?,22:43
不是小清新80,【求助】加拉提亚.梅乐思长什么样子,2015-08
蒲绒绒丷-,【招人】橙 光：𝘉 𝘌 𝘕 𝘕 𝘌 𝘕,9-11
YuKi新新◎,【讨论】原著有说过斯内普：你的👀很像你的母亲吗？,9-12
我是李生525,【原创】alpha,9-12
冬日菡萏◆,【贴图】魔法觉醒：磕哈金＆塞秋,9-10
胡椒炒青椒,【原创分析·重修】《生而高贵，巫师家谱》分析28个纯血统家族,2014-10
牧羊女♬,【讨论】各个国家的魔法世界,8-10
盐焗-芒果干,【讨论】大家喜欢德拉科·马尔福的原因,1-7
假龙牌香烟,【疑问】询问一下世界观的问题,09:01
奇迹美男子😍,【贴图】练习册里出现了哈利•波特,20:03
刚子哥儿,【疑问】我是盲生，我发现了华点,16:44
🐷天线雨点,【讨论】有点语无伦次，关于我现在的一些奇怪的失落,9-8
浮生若梦物语º,【讨论】秋张真的很好看啊,9-2
春梦夏归2,【讨论】想给我弟弟买一套哈利波特全集，拼多多比淘宝便宜不少，,1-28
昕呈则灵shine,【讨论】关于卢平和哈利,2014-09
三厘米学弟,【转载】细看罗赫之间的感情发展史（转）,2015-10
徐九星😈😈,【讨论】有没有吧友存过一张图，大概就是如果哈利是女孩什么的……,01:30
稻草人🔥修罗场,【游戏记录】霍格沃兹之谜（可能剧透）,2018-04
奇迹美男子😍,【讨论】咱们哈利•波特里有没有什么人气很高却没有实力的人物呢？,9-7
紫罗兰色♋,【讨论】赫敏为什么没有闺蜜？,9-9
我真不是帅哥º,【讨论】关于电影,9-12
奇迹美男子😍,【贴图】霍格沃茨魔法学校北京校区新宣传片,9-3
星落花海℃,【讨论】哈利波特,16:25
xp19910201,【鉴定】长期帮助大家鉴定各种中文版和英文版的哈利波特书,2018-07
左原右耀色😄,【讨论】关于手游里的消失咒,18:30
鞋圣归来,【演绎/文游】陨星：巫师们的异星生存故事,9-11
青希夜-,【讨论】求一枕冰寒原文地址呜呜呜,20:25
亮亮的羽扇😍,【讨论】关于哈利波特的一些碎碎念,9-12
呐呐呐呐呐呐🌿,【讨论】笑死了…,9-11
水晶鱼多多🍭,【贴图】阿兹卡班原型，邻居分班,19:24
51669222,【讨论】【哈利菠菠】一些悖论和假想……,9-12
某脑洞大开之人,【原创】自创魔咒:反击咒,1-12
贴吧用户_aWX7WXE,【讨论】问一下我是新哈迷，为什么火焰杯里有哈利邓布利多这么生气,18:30
牧羊女♬,【原创】极北之地,3-7
阿米娅✨,【讨论】一直在想一个问题，如果有人把麻瓜世界的枪械带进了霍格,9-12
瑶瑶不哭🍼,【讨论】我想问问卡组需不需要全部升级去叠魔法书等级,17:20
失误的15♬,【原创】论英国霍格沃兹魔法学院的沙雕日常,17:23
紫罗兰色♋,【讨论】霍格沃茨收中国巫师吗？,12:50
司小汐,【吧务】哈利波特吧吧务组有关《哈利波特：魔法觉醒》的公告,9-9
叶猫🌟,【官方活动】2021年度征文——事与愿违,4-29
司小汐,【入吧必读】百度哈利波特吧吧规（2019年版）,2019-07
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
伊诺印加,【原创】女部长（第一位魔法部女部长相关）,2017-01
怪咖的羽毛⚡,【讨论】罗琳对立了四个学院又好像融合了四个学院,15:37
yayaclove,【讨论】提起《哈利波特》，你最先想起的词语是什么？,20:15
铃音奇迹,【原创】天朝魔法学院使用手册/又名在中国魔法学院的生活是怎样？,2018-02
爱吃肉的橘猫😈,【疑问】|･ω･｀)各位hp前辈。手游算是伏地魔获胜的平行世界么？,20:23
贴吧用户_a1D5989,【讨论】居然抽到了张哈利波特,9-9
沈宴º,【疑问】不是。。现在哈利波特吧跟魔法觉醒是打算合一起了?,22:43
不是小清新80,【求助】加拉提亚.梅乐思长什么样子,2015-08
蒲绒绒丷-,【招人】橙 光：𝘉 𝘌 𝘕 𝘕 𝘌 𝘕,9-11
YuKi新新◎,【讨论】原著有说过斯内普：你的👀很像你的母亲吗？,9-12
我是李生525,【原创】alpha,9-12
冬日菡萏◆,【贴图】魔法觉醒：磕哈金＆塞秋,9-10
胡椒炒青椒,【原创分析·重修】《生而高贵，巫师家谱》分析28个纯血统家族,2014-10
牧羊女♬,【讨论】各个国家的魔法世界,8-10
盐焗-芒果干,【讨论】大家喜欢德拉科·马尔福的原因,1-7
假龙牌香烟,【疑问】询问一下世界观的问题,09:01
奇迹美男子😍,【贴图】练习册里出现了哈利•波特,20:03
刚子哥儿,【疑问】我是盲生，我发现了华点,16:44
🐷天线雨点,【讨论】有点语无伦次，关于我现在的一些奇怪的失落,9-8
浮生若梦物语º,【讨论】秋张真的很好看啊,9-2
春梦夏归2,【讨论】想给我弟弟买一套哈利波特全集，拼多多比淘宝便宜不少，,1-28
昕呈则灵shine,【讨论】关于卢平和哈利,2014-09
三厘米学弟,【转载】细看罗赫之间的感情发展史（转）,2015-10
徐九星😈😈,【讨论】有没有吧友存过一张图，大概就是如果哈利是女孩什么的……,01:30
稻草人🔥修罗场,【游戏记录】霍格沃兹之谜（可能剧透）,2018-04
奇迹美男子😍,【讨论】咱们哈利•波特里有没有什么人气很高却没有实力的人物呢？,9-7
紫罗兰色♋,【讨论】赫敏为什么没有闺蜜？,9-9
我真不是帅哥º,【讨论】关于电影,9-12
奇迹美男子😍,【贴图】霍格沃茨魔法学校北京校区新宣传片,9-3
星落花海℃,【讨论】哈利波特,16:25
xp19910201,【鉴定】长期帮助大家鉴定各种中文版和英文版的哈利波特书,2018-07
左原右耀色😄,【讨论】关于手游里的消失咒,18:30
鞋圣归来,【演绎/文游】陨星：巫师们的异星生存故事,9-11
青希夜-,【讨论】求一枕冰寒原文地址呜呜呜,20:25
亮亮的羽扇😍,【讨论】关于哈利波特的一些碎碎念,9-12
呐呐呐呐呐呐🌿,【讨论】笑死了…,9-11
水晶鱼多多🍭,【贴图】阿兹卡班原型，邻居分班,19:24
51669222,【讨论】【哈利菠菠】一些悖论和假想……,9-12
某脑洞大开之人,【原创】自创魔咒:反击咒,1-12
贴吧用户_aWX7WXE,【讨论】问一下我是新哈迷，为什么火焰杯里有哈利邓布利多这么生气,18:30
牧羊女♬,【原创】极北之地,3-7
阿米娅✨,【讨论】一直在想一个问题，如果有人把麻瓜世界的枪械带进了霍格,9-12
瑶瑶不哭🍼,【讨论】我想问问卡组需不需要全部升级去叠魔法书等级,17:20
失误的15♬,【原创】论英国霍格沃兹魔法学院的沙雕日常,17:23
紫罗兰色♋,【讨论】霍格沃茨收中国巫师吗？,12:50
司小汐,【吧务】哈利波特吧吧务组有关《哈利波特：魔法觉醒》的公告,9-9
叶猫🌟,【官方活动】2021年度征文——事与愿违,4-29
司小汐,【入吧必读】百度哈利波特吧吧规（2019年版）,2019-07
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
🌀恭一郎,霍格沃茨学校不再安全了，人人都会索命咒…,23:05
流川歌呗super4,霍格沃茨学校不再安全了，人人都会索命咒…,9-1
流川歌呗super4,霍格沃茨学校不再安全了，人人都会索命咒…,9-1
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
流川歌呗super4,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,9-1
伊诺印加,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,2017-01
怪咖的羽毛⚡,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,15:37
yayaclove,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,20:15
铃音奇迹,【疑问】为什么海德薇牺牲哈利哭得比多比牺牲时更伤心？,2018-02
爱吃肉的橘猫😈,【原创】女部长（第一位魔法部女部长相关）,20:23
贴吧用户_a1D5989,【讨论】罗琳对立了四个学院又好像融合了四个学院,9-9
沈宴º,【讨论】提起《哈利波特》，你最先想起的词语是什么？,22:43
不是小清新80,【原创】天朝魔法学院使用手册/又名在中国魔法学院的生活是怎样？,2015-08
